"organisation_name","title","awarded_value","description"
"London Borough of Enfield","Young People's Substance Misuse Service",1950000,"Delivery of substance misuse interventions to young people living in, or attending school in the London Borough of Enfield."
"GATESHEAD COUNCIL","CONTRACT FOR CHILDREN AND YOUNG PEOPLES SUBSTANCE MISUSE SERVICE",2014182.5,"This contract is for the delivery of an outcome focused, high quality, child/young person-centred substance misuse service for   children/young people in Gateshead who may be at risk of or are currently experiencing problematic substance misuse.

Tenders are only available to download via the NEPO portal at www.nepo.org"
"London Borough of Merton","Young People's Risk and Resilience Service 2020",2100000,"An integrated Risk & Resilience Service to provide a range of complimentary services to provide holistic support to children and young people with a variety of needs and aspirations.

Scope

The range of services to be provided as part of a cohesive Risk & Resilience service offer are as follows:
- Specialist and targeted substance misuse treatment and prevention
- Missing from Home or Care
- Young People at Risk of or Experiencing Exploitation
- Targeted Detached Youth Interventions
- Wrap around support for multi-agency professionals contributing to prevention of Substance misuse, Missing and Exploitation as well as the broader promotion of sexual health"
"DERBY CITY COUNCIL","The provision of Public Health Services - Child Weight Management and Active Choices",2150000,"Child Weight Management services
This service helps children and their families to manage weight by improving fitness, nutrition, and self-esteem.  The service targets children identified through the national child measurement programme (NCMP) as being overweight or obese.  NCMP is a statutory programme.  
Substance misuse recovery support (Active Choices) 
The service supports individuals with getting more active and maintaining routine as they recover from substance misuse. It also provides sustainable exit routes from drug and alcohol treatment, builds the recovery community and peer support networks."
"LONDON BOROUGH OF HARINGEY","Provision of Children, Young People and Families Drug and Alcohol Service",2219911,"This notice is for the award of contract for Provision of Children, Young People and Families Drug and Alcohol service.

The aim of the Service is to improve the health, welfare and life chances of children, young people and their families by  minimising drug and alcohol related harm.
The Service will include two delivery strands:

1.	Young People's Drug and Alcohol Service (YPS)- will support young people up to the age of 21, will offer universal prevention, targeted early intervention and treatment to young people who use substances, with provision of support for their parents/carers.

2.	Whole Family Support (WFS) - a range of interventions and activities designed for children and families where there is a substance misusing parent. 

The contract will be awarded on the basis of Most Economically Advantageous Tender (MEAT). Further details set out in the in the Invitation to tender.

It is anticipated that the contract will be for a period of 4 years from 1st December 2021, with option to extend up to a further 3 years.

Invitation to tender documents are available from the Council's e-tendering portal, Haringey Procurement and Contracts System (HPCS) which can be accessed via this link:

https://s2c.waxdigital.co.uk/ProcurementLBHaringey"
"Surrey and Borders Partnership NHS Foundation Trust","Contracts Finder Award Notice - Integrated Substance Misuse Treatment-Subcontract",2284940,"i-access is the substance misuse service for Surrey and is part of Surrey and Borders NHS partnership Trust (SABP). The service is jointly provided by SABP and Public Health, Surrey County Council under a cooperation agreement. The Child and Family Safeguarding Pilot is part of the i-access service and has a number of months of funding remaining with commitment to secure future funding already being explored. It is part of the i-access service. The Pilot has brought substance misuse workers into the child and family teams in order to support parents with substance misuse issues.
This procurement was for subcontracted aspects of i-access. The provider will work collaboratively with SABP and Public Health. The provider's staff will work with SABP staff to deliver the i-access service. They will be based in the SABP i-access bases and in Surrey County council bases for the
Child and Family safeguarding pilot.
The i-access bases are:
- Farnham Road Hospital, Guildford
- Abraham Cowley Unit, St Peters Hospital site, Chertsey
- Wingfield Centre, Redhill.
The Child and Family Safeguarding Service bases are:
- Guilford Council - St Francis House
- Woking Council - Quadrant Court
- Walton Council - Ashley Park House
- Redhill Council - Consort House.
SABP and Public Health did not require any Service Provider to try and reduce the financial envelope. The financial envelopes are below:
- Main Sub-contract -£456,988 per annum (for 3 Years with the option to extend for 2 periods of 12
months each)
- Family Safeguarding -£378,000 per annum (maximum funding envelope) for 1 Year on a pay as you go basis based on actual posts/staff recruited in-month and up to10.00% overhead.
Service Providers were informed that bids under the financial envelope stated above, would not be advantageous. Any underspend funding will be re-invested back into the SCC and SABP Co-operative. We understand when delivering a service there can be unexpected costs. Mitigation for those costs are discussed and agreed in the programme board, on which the successful Provider will sit. The financial approach to this contract is one of openness, transparency and collaboration."
"London Borough of Camden","Camden and Islington Oral Health Promotion Service",2772720,"The London Boroughs of Camden and Islington ('the Authorities"""" and  """"the Authority"""") are seeking to award a contract for the provision of an Oral Health Promotion Service (with Fluoride Varnish Service) -The Service- across Camden and Islington. 
The Service will deliver an innovative and evidence based Oral Health Promotion which will include the following groups: 
•	Children living in communities with high levels of untreated disease. 
•	Older people living in residential and care homes and those living independently. 
•	Adults and children with learning disabilities and other special care needs
•	Adults with alcohol and substance misuse
•	People with serious mental illness
•	The homeless

The contract is for an initial period of five years with the option, at the sole discretion of the councils, of three extensions each of one year. 
The maximum contract value for the initial five-year term is £1,732,950. The maximum contract value including all three extensions is £2,772,720
This service is being procured using the Regime for Social and Other Specific Services as described in Chapter 3, Section 7 of the Public Contracts Regulations 2015. Under Regulation 76, the Council may determine the procedure to be applied in connection with the award of the Contract. The award procedure to be used is set out in the Instructions to Tenderers and the contract will be awarded on the basis of the most economically advantageous tender. The procedure will include selection and award criteria
"
"NHS Commercial Solutions","Child and Adolescent Mental Health Services for Young People at Medway Secure Training Centre including CAMHS Primary Care Nursing & Substance Misuse Services",2801013,"Medway Secure Training Centre is on the edge of Rochester in Kent and looks after young people male and female aged between 12 and 17 years. The Centre is a purpose built facility that offers secure provision for up to 76 young people who are remanded to secure accommodation or sentenced by the Courts to custody or who are serving civil orders. It is one of 3 Centres nationally commissioned by the Youth Justice Board. Healthcare needs are high with a large proportion of the young people suffering from emotional or mental distress, learning difficulty and / or neglect. 

The responsibility for healthcare has been transferred to NHS England from the Youth Justice Board. NHS England is looking to establish targeted and effective healthcare provision in the Centre which is designed around the needs of the young people and supports the Director in the running of the Centre.

The needs of the young people mirror those elsewhere in the young people’s secure estate with often troubled backgrounds, histories of Local Authority Care, truancy or exclusion from education and absent parents.   The service requirement  is offered in one Lot however there are 3 strands of expertise required from potential providers. These are; 

•	Child and Adolescent mental health services (CAMHS), 
•	Primary Care Nursing 
•	Substance Misuse services. 

NHS England welcomes interest from organisations equipped to engage the young people in the Centre in addressing their often wide-ranging health needs.

The ITT Bidder event will take place on [insert date and time] at Wharf  House Tonbridge. Potential Bidders are invited to send 2 representatives per organisation. Confirmation should be provided by [insert date and time] via BRAVO.


IMPORTANT 

The tender will be conducted via the NHS Commercial Solutions Bravo e tendering system. Full documentation including The ITT, Memorandum of Information and detailed Specification are available as attachments to this Contracts Finder notice. However to register interest and take part in the procurement each provider must register and respond via the NHS CS Bravo e-tendering portal. BRAVO is the only route through which NHS Commercial Solutions will accept the bids and conduct communications with Potential Bidders."
"Department for Education","(CF) Project: project_7939 - CR: Kinship Carer Training",2924771.02,"he services relate to the Department&apos;s aim to procure a package of training, information, support and advice for kinship carers in England. This is in response to the Independent Review of Children&apos;s Social Care (Care Review) call on Government to deliver a training and information package of support for kinship carers and their families.



Kinship carers are relatives or friends who raise children who cannot safely remain with their parents. Across the UK more than 150,000 children are living with kinship carers - significantly more than are in the care system and many more than are adopted, making kinship care an important element of the children&apos;s social care system.



These children have often suffered similar adversities to those in the care system. These include parental substance misuse or mental or physical incapacity, domestic violence, imprisonment, teenage parenthood, parental separation or death. Child protection concerns are common. At least 20% of children raised in kinship care are affected by some degree of emotional and behavioural difficulties1.



The charity Kinship&apos;s 2022 annual survey """"The Cost of Loving""""2, found that the provision of local authority support and information for kinship carers is inadequate, risking significant costs for children, families, and the state. The survey found that 78% of carers felt they did not receive the support they needed from their local authority in order to meet the needs of their kinship child(ren), an eight-percentage point increase on last year&apos;s survey. It also found that less than a third of carers received information about being a kinship carer before or shortly after the child moved in, and only 28% had been signposted to other places they could access support.



There is currently no national training and support offer for kinship carers, and what does exist is highly variable across different local authorities. Some organisations within the sector offer support, however none of that support is funded by the government. Some kinship carers attend foster carer training; however, the training isn&apos;t tailored to their specific needs (e.g. managing contact with a birth parent is different for a foster carer vs. a kinship carer).



Through this procurement we want to deliver on Governments commitment to deliver a training and support offer for all kinship carers by the end of this Spending Review (March 2025)."
"Cheshire East Borough Council","18 105 Whole family domestic abuse service",2973039,"Cheshire East Council Commissioners are seeking to enable a Whole Family Domestic Abuse Service through a 'Hub and Spoke' model to coordinate support for Children, Young People and Adults across Cheshire East. The service will 'contribute' to a single point of contact for services and will coordinate and improve access to local support, building and promoting existing community assets.  The Provider will be required to take a strong partnership approach building on existing assets in Cheshire East.  

The core purpose of the Whole Family Domestic Abuse Service is to be a key partner in the provision of a single, clear point of contact (Hub) for service users in Cheshire East while improving sustainable community based access (Spokes).  

This service will offer a medium risk community based service, as defined by the use of SafeLives DASH Risk Checklist.  This will include:

•	24/7 single point of access (Cheshire East Domestic Abuse Hub) to information, consultation and referral for communities and professionals - Co-delivered with the IDVA service during office hours
•	Accessible support bases in Crewe/Macclesfield and further outreach via the Cheshire East Connected Community Hubs
•	One to one, group support and recovery for those who are harmed
•	Programmes and support for those who harm others 
•	Supply, co-ordinate, manage accommodation and housing 
•	Multi-agency work, particularly in respect of Adult and Child Safeguarding processes and services responding to complicating factors e.g. Substance Misuse Service 
•	Participation in preventative measures, such as awareness campaigns, training and educational work
•	Co-production with people who use the service to seek continual service improvement throughout the life of the contract"
"HAMPSHIRE COUNTY COUNCIL","AS15674 Enablement and Progression (Community Based)",3173018.7,"This service will provide a range of effective support and enablement services in four geographical lots in Hampshire. The service will replace a number of current services that include the Community Support Service, SAIL and Launchpad. The provider will work closely with the County Council to develop an effective enablement pathway service that is outcomes focused and able to meet a variety of needs.  

The service will be directed at Adults aged between 18-65. This will include young people coming through transition (18 plus). This will include people with Learning Disability, Physical Disability, Mental Health issues, Substance Use issues and Autism Spectrum Conditions.  Access to the services will be via a Care Act 2014 assessment. Most service users will be people who live at home with family or other carers or who live on their own. Some may have recently followed some level of transition where they have 'stepped down' from other accommodation-based services such as supported housing, extra care or residential care into their own accommodation."
"Tower Hamlets","AHS5124A - Integrated Young People's Health and Wellbeing Service (Sexual Health & Substance Misuse)",3498405,"Tender awarded to provide a comprehensive integrated health and wellbeing service for young people aged 10-19 (and particularly vulnerable young people aged 19-25 years old) in Tower Hamlets."
"Kent County Council","Young Persons Drug and Alcohol Service",4100000,"Kent County Council (KCC) is commissioning a specialist Young Person's Drug and Alcohol service to reduce the harm caused by substance misuse and to improve the health and wellbeing of children and young people in Kent. In order to obtain the tender documentation and specification for this service please visit the www.kentbusinessportal.org.uk."
"Warwickshire County Council","WCC - Drug and Alcohol Treatment and Recovery Services (Adults and CYP) ",4352855,"Warwickshire County Council (the Council) is seeking to commission a single provider for each Lot (but a successful provider may be awarded both Lots) to provide Drug and Alcohol Services for; Lot 1 Lot 1 Adult Drug and Alcohol Treatment and Recovery Service and Lot 2 Lot 2 Children and Young People's Drug and Alcohol Services.  Bidders may submit tenders for either or both Lots.  If bidders are submitting for both Lots a separate submission must be made for each Lot.  

Warwickshire County Council will be using its e-tendering system (CSW-JETS) for the administration of this procurement process. Providers must register with the system to be able to express an interest and download documents. 

The web address for CSW-JETS is: https://in-tendhost.co.uk/csw-jets/aspx/Home
Registration and use of CSW-JETS is free.

All correspondence or clarifications relating to this procurement must be via the CSW-JETS correspondence function. If you are having trouble registering with CSW-JETS please email us at: procurement@warwickshire.gov.uk 

Providers must register on CSW-JETS and express an interest in this project in order to download tender documents and be able to correspond with us about this procurement.

During the course of the contract period the range and scope of these services may be subject to modification and variation to meet the changing needs and requirements of the Council, potential changes in legislation and the changing demands placed on the Council by its customers.

This is a Provider Selection Regime (PSR) Contract Notice. The awarding of this contract is subject to the Health Care Services (Provider Selection Regime) Regulations 2023. For the avoidance of doubt, the provisions of the Public Contracts Regulations 2015 do not apply to this award."
"Rochdale Metropolitan Borough Council","Rochdale Preventative Services",4411330.38,"Preventative Services Contracts. People seeking support may have mental health, substance misuse or physical health needs. Many will have experienced complex trauma and abuse whilst others may have histories of rough sleeping, relationship breakdown or offending.
Wherever people may have come from and whatever their history, the service will work with each person as an individual, supporting them to address their needs, focusing on stability, building life skills, taking control and moving forwards with their lives.

There are 3 Lots covering this area:
•	Lot 1 - Short Term Life Support & Tenancy Skills
•	Lot 2 - Young Parents - Accommodation and Community Support Service
•	Lot 3 -  Private Sector Housing Related Support Service"
"Wokingham Borough Council","Substance Misuse Support Service",4442161,"The integrated drugs and alcohol recovery service needs to be delivered in line with an evidence based practice model that attracts and engages substance misusers into treatment and promotes full sustained recovery from drugs and/or alcohol misuse which is also known as substance misuse. The service will support adults, young people, families and carers with substance misuse issues within/across a community setting(s), it will empower residents to maintain a healthy and satisfying lifestyle and protect their family and friends around them from any further harm associated with substance misuse.

It is anticipated that the contract will be let for a 5 years term with a potential extension of up to 2 years subject to good performance.

Service scope includes:
•	Early intervention and prevention (including assertive outreach)
•	Assessment, care planning, co-ordination, pathways and review
•	Harm reduction; specialist needle exchange; pharmacy needle exchange; including needle exchange packs; needle waste; and prevention of drug related deaths, injury and overdose including naloxone.
•	Pharmacological interventions including supervised consumption and delivery of a shared care system
•	Interventions to reduce crime, reoffending and anti-social behaviour
•	Freedom from dependence on alcohol
•	Access to residential detoxification, treatment and aftercare
•	Focus on safeguarding children, families, adults with care and support needs and carers
•	Recovery and aftercare
•	Effective user and carer involvement.
•	Access to mutual aid & peer support
•	Support to access employment, training, education and volunteering.
•	Support to access and sustain suitable accommodation
•	Interventions aimed at improving mental and physical health and wellbeing
•	Drug and alcohol behaviour change digital approach
•	General Prescribing
•	Shared Care
•	Needle Exchange

Not within service scope:
•	Funding for Residential detoxification, treatment and aftercare is not included in the value of this contract."
"Essex County Council","Psychosocial Alcohol Interventions and Recoevery Service",5000000,"Text to be corrected in the original notice:
        Place of text to be modified: Contractor 1 Name
        Instead of: Phoenix Homes (T/A Phoenix Futures)
        Read: Phoenix House (T/A Phoenix Futures)
        To provide advice, support and information in relation to alcohol misuse, to provide assessment, care planning and appropriate interventions to those with alcohol misuse issues and concerns; to provide pre and post detoxification support for those needing community or residential detoxification.  The contract will be held by Essex County Council who will manage the contract.  Throughout this specification it is assumed that services will be provided to Alcohol Misusing Adults, Young People (17 & 18 assessed as suitable for adult services), whole families and those vulnerable clients/groups who have been identified as either at risk or affected from substance misuse."
"HAMPSHIRE COUNTY COUNCIL","AS15674 Enablement and Progression (Community Based)",5074125,"This service will provide a range of effective support and enablement services in four geographical lots in Hampshire. The service will replace a number of current services that include the Community Support Service, SAIL and Launchpad. The provider will work closely with the County Council to develop an effective enablement pathway service that is outcomes focused and able to meet a variety of needs.  

The service will be directed at Adults aged between 18-65. This will include young people coming through transition (18 plus). This will include people with Learning Disability, Physical Disability, Mental Health issues, Substance Use issues and Autism Spectrum Conditions.  Access to the services will be via a Care Act 2014 assessment. Most service users will be people who live at home with family or other carers or who live on their own. Some may have recently followed some level of transition where they have 'stepped down' from other accommodation-based services such as supported housing, extra care or residential care into their own accommodation."
"Public Health Lincolnshire","Lincolnshire Substance Misuse Services",5107020,"Substance misuse service for the county of Lincolnshire including clinical and psychosocial treatment, drugs and alcohol for adults and young people as well as needle syringe programme and a service to develop a recovery community and offer peer/mutual aid to those in recovery"
